rank	node_id	tx_hash	output_id	harmonic
117	79809215	74ef8ef24b5536881fd4d41d9bebbaecd8124c6f9a4ef31c83c9a8439dd065bd	1	0.04077156164459802
118	80110423	87a96ae28c209b2f7007211b581f334a31d5a5c13d99063d2191f57fe93d19be	0	0.04077156164459802
119	80555550	c4dbf4153726668e208728c6dce595529cf044bdede72c6b8cb484ae064c2c06	0	0.040768942845418925
120	81136936	7ecb350edad65e0788668301c66897d44806c98368d6f8da37fbdb54a1b713b6	0	0.040768942845418925
121	81139530	6473ffc57067345074e1dc60eb9303c6d5a1525c7459f1883e909b604b7e2baa	0	0.040768942845418925
122	81319165	de1ae11482115b3b96b1b5a49be9d77d6cc5c8d74c55486a740bca78d3e27cd4	506	0.040768942845418925
123	81490456	55b7903f7d5219886bb4c94b1cd4a1b347c27a03b5d17b6f7384e4d067fa386f	272	0.040768942845418925
124	82242711	2d76209328c8128ae6c41a2ba1bdf1cf3ebf2c20921833c4dc7f1e40bb35901c	0	0.0407593467889697
125	32613185	ec5e2a84f806b64f2ba95f38be4e2f07dbff3dcd683ba01689d09e14fe61a0e6	39	0.040743234090473035
126	76685198	14da85560adb8ccb3594ac60e88ea41d2ac7fe94137242b1586511c707b90df0	1	0.04073784231759969
127	76847217	0a9cfaf5d279c1253c85f1c21ff3711fa355235e1fef297d776b58c2b7db0976	268	0.04073784231759969
128	76986408	ce1f7ddff902ace94f8601c05104a5aabc95d21b2d62c6e2dc9205d039553e06	0	0.04073784231759969
129	35266509	bee9a2f6b2e7f15a6773e3d2df18b7fd0d0e3ed51ab4d2b1abe5cb1564be5e97	1	0.04072899140416133
130	75377246	394736426e29df833e04df14178c3aa5b504486a749220ab976242f7f66e9cbe	1134	0.040722889425133246
131	75509282	6a46dfd13b2f24f09daab15e2a4565303772b8c2b53cdf6df510223f811d6432	1	0.040722889425133246
132	75554989	3deb3e7f421e9e87a3d721d29884107b6e41d5517a5e0df49bfbfe2be25ea36b	1941	0.040722889425133246
133	75597543	8b54485f4ab2ee6aaf7720feaad7928b67589187c6da399e6cdbd6d80afc74ee	0	0.040722889425133246
134	75597760	56fc8ab80f7c9ff60c5b1203ea41127abe8af81565fafb593c754ecfedc25d27	0	0.040722889425133246
135	75598920	3afb0d9f629360cf356128815ff0375046edd192df390e8d82a512f50ae2beb4	1	0.040722889425133246
136	75657133	9e0291094d0e487b1a8d13c8c874203d6af8a339645fe3fd57e6063bdbdb0f7c	0	0.040722889425133246
137	83655730	de1e6f43c4b3b6923cabb17b45bc1ef85a73975ca7551e1f794a6f40d6464d83	0	0.04070994934193752
138	34689438	e9d6ceaed6263a02818bd4d93f6ecb24ab12da6ce45bdc51d17b12a308a76032	0	0.040709530972442905
139	75500010	296ffe758f10ff0a671cb244e5cdad089b5688631c81ee9a7e7e1a028bfe4d0e	0	0.04070622694669462
140	76035483	ee4579e1682d2c0eb73ea307ea4b3d29fbeb83d9b69f696cbdd2b15ad95db7b1	328	0.04070622694669462
141	71808148	0ab6c07834a7279cc7badaa7b9e9d0b1aa9e64ac052ecc2a6164a5157507f154	1	0.04069741170816326
142	72055743	beaa65811f6de58d0ac8930e4af5ecb7586b6d8135cb1693eeb6053c81605843	0	0.04069741170816326
143	72122422	a1782b72837549e9d35e04484f6fbb7df90ebc0d00da828d50562961478f0902	0	0.04069741170816326
