rank	node_id	tx_hash	in_degree
62	91474802	c363bc561419c8a85dc4ab3bf53b2a3038b62354bd68232ae149b6e7f7fcf1e9	1958
63	87811566	9c972a02db30f9ee91cc02b30733d70d4e2d759b5d3c73b240e5026a8a2640c4	1938
64	16507085	e6f4162eb11109c5fd7b1a0f0330d848d437ef817cecc3285ae275b6faed79ec	1932
65	88893880	e0c5e2dc3a39e733cf1bdb1a55bbcb3c2469f283becf2f99a0de771ec48f6278	1926
66	87358631	92f217ec13ab309240adc0798804b3418666344a5cbfff73fb7be8192dad5261	1788
67	87895795	a7e0a86944e9750a3fe372dd318da7b81c4f4c4ab228741ba0cf7fb6d56d6640	1763
68	88112215	e245f6c3c6b02dc81ea1b6694735565cc535f603708783be027d0e6a94ac3bd5	1750
69	88868131	22df2138a28c9d339813854a38181ffc5ac6f37d171d5b5bd6b0b79bf8d3c641	1722
70	88412733	8054cd2ed2b64ac774577f528f9f878559bdc93b781ed6672544e0fe08599124	1709
71	87212684	484c8f9d1adf16a576bce52721a5e4edd5239df346d94fd730f6d7b681ab3652	1705
72	88131361	01d23d32bccc04b8ca5a934be16da08ae6a760ccaad2f62dc2f337eee7643517	1703
73	13912047	e25c5d565c6c9995ac8ecdde0ea9425cb57b62c9b40a1435c9fbfad900c213ea	1700
74	12824698	2c4f3f2fbcf329255231fa3249683b8e1c1e895f9db174f43bf10f687bcd6f16	1696
75	87339693	e3d3d1ecec5d6b57792c793c413fc9b19189f5b932db8887d46f06abc101d24e	1624
76	88294075	1cf52f9ef89fa43bb4f042cbd4f80e9f090061e466cbe14c6b7ba525df0e572e	1622
77	88115368	02313ac62ca8f03930cdc5d2e437fabc05aea60a31ace18a39678c90b45d32bd	1597
78	88349581	54bf51be42ff45cdf8217b07bb233466e18d23fd66483b12449cd9b99c3a0545	1577
79	88401227	e3de81a5817a3c825cf44fbf8185e15d446393615568966a6e3fc22cba609c7d	1547
80	88059158	5e5927bcc88d68b72366bbd4e58680e0f579129f5dd5be4c2bdd90ce89700845	1535
81	16508979	6f79cdd01ebdd6ec5a70874baf9caac07e4432276514da30398323fc7f7830f9	1498
82	87206723	7a3a71401b22d8cd61aaff262b5957a87e0d7e5fae6a20e246c8a6c8e6e4fb88	1467
83	88393089	4eba5deb2bbf3abf067f524484763287911e8d68fb54fa09e1287cf6cd6d1276	1457
84	11685906	4f32c8846b3611047ed52690680d84cadaa1ee25fc473e77ac45234ddf65a120	1455
85	24133708	3878254844326e5afaf807f7205503ad34e54b70fc9f91819739eac5e9f7b2eb	1455
86	87703569	461308024d89ea4231911df4ef24e65e60af2a9204c8282a6b67f4214c1714e7	1429
87	90444932	c1e00054cc3fef88c2fdec2967e96fdb4c645bcf3f08b0580b51e47ecbfab71a	1408
