rank	node_id	label	in_degree
682	72734272	null	11677
683	4099681	null	11667
684	109854191	null	11656
685	52519570	null	11637
686	124714942	null	11637
687	48106817	null	11609
688	110007372	null	11599
689	70317121	null	11580
690	113684745	null	11547
691	8700307	null	11529
692	25506516	MoonBit.co.in	11523
693	91561180	null	11519
694	65727995	null	11510
695	33426686	null	11508
696	100918653	null	11494
697	76384779	null	11485
698	18324500	null	11478
699	94826885	null	11453
700	113193775	null	11431
701	49193261	null	11345
702	36011043	BitcoinVideoCasino.com	11326
703	6090174	Cryptorush.in	11314
704	127167848	null	11313
705	23723888	null	11263
706	43646496	null	11245
707	22225111	null	11213
708	10132544	null	11202
709	52008979	null	11201
710	96921975	null	11196
711	46645596	null	11192
712	6954634	null	11173
713	47448986	null	11167
714	9118397	null	11074
715	37223669	null	11068
716	40360022	null	11057
717	89065585	null	11049
718	93536425	null	11039
719	1703726	null	11038
720	65392928	null	11031
721	7437363	null	11017
722	52699234	null	10991
723	13974633	null	10961
724	118411662	null	10950
725	6942774	Crypto-Trade.com	10925
726	45045742	null	10905
727	2040936	null	10903
728	34863427	null	10879
729	2405461	null	10843
730	106912090	null	10832
731	58436602	null	10789
732	4081524	null	10770
733	80419781	null	10760
734	29868067	null	10752
735	28271662	CoinApult.com	10694
736	34863436	null	10667
737	30686825	null	10661
738	34830579	null	10643
739	78728051	null	10616
740	111512107	null	10598
741	108424445	null	10561
742	3987166	null	10551
743	52271440	null	10548
744	26163819	null	10532
745	1894703	null	10505
746	36382205	null	10505
747	3795767	null	10492
748	130008353	null	10464
749	30684548	Bitfinex.com	10462
750	4021594	null	10450
751	72889004	null	10428
752	96665330	null	10328
753	56240107	null	10287
754	17415988	null	10285
755	93932245	null	10259
756	76942953	null	10247
757	29537289	null	10230
758	596198	MyBitcoin.com	10218
759	106625	null	10214
760	9099254	null	10203
761	52822570	null	10187
762	92599411	null	10138
763	17476552	null	10120
764	82884533	null	10078
765	62302592	null	10075
766	17041288	null	10048
767	10117476	null	10044
768	62543416	null	10012
769	73129304	null	10012
770	62373700	null	10003
771	90704218	null	9980
772	125321949	null	9971
773	82192447	null	9944
774	89505514	null	9933
775	22620205	null	9920
776	131676042	null	9900
777	34863508	null	9869
778	64485036	null	9853
779	117583574	null	9838
780	43014766	null	9815
781	109326674	null	9807
782	34863460	null	9786
783	34863491	null	9754
784	14290525	null	9753
785	69619232	null	9743
786	62040044	null	9739
787	9544700	null	9738
788	62044890	null	9734
789	27805858	null	9733
790	62963991	null	9672
791	69574497	null	9661
792	11332083	Coin.mx	9652
793	27225844	null	9604
794	42534446	null	9588
795	81565965	null	9576
796	18897444	null	9569
797	73089707	null	9554
798	85999339	null	9546
799	95739995	null	9545
800	10399558	AnoniBet.com	9536
801	133085818	null	9512
802	94164044	null	9508
803	67935784	null	9478
804	59382168	null	9468
805	125371903	null	9447
806	9413136	Peerbet.org	9437
807	65272147	null	9429
808	54842432	null	9428
809	97795555	null	9376
810	11160612	null	9375
811	19948368	null	9344
812	20517575	null	9309
813	118135246	null	9303
814	63881721	null	9294
815	64063478	null	9252
816	20609804	null	9235
817	115623110	null	9208
818	43276486	null	9207
819	57889384	null	9196
820	55860590	null	9164
821	27974829	null	9132
822	39624433	null	9131
823	61910615	null	9126
824	19146747	null	9074
825	29345379	null	9071
826	24221820	null	9067
827	125182543	null	9063
828	93535070	null	9036
829	37806158	null	9011
830	52024338	null	9011
831	67050127	null	9010
832	47196962	null	9006
833	19651963	null	9001
834	62128302	null	8991
835	1989537	null	8980
836	8454940	null	8979
837	4368102	null	8974
838	18752938	null	8969
839	54934732	null	8950
840	45204929	null	8940
841	17876422	null	8937
842	96877477	null	8923
843	12393865	null	8922
844	65689412	null	8919
845	40075824	null	8909
846	14844033	null	8902
847	34863488	null	8859
848	34863440	null	8828
849	125798608	null	8817
850	598316	null	8790
851	12764783	VaultOfSatoshi.com	8787
852	71175514	null	8769
853	126452956	null	8766
854	29508266	null	8723
855	17495950	null	8708
856	131202905	null	8697
857	36525443	null	8695
858	114073213	null	8673
859	3895592	null	8654
860	65334698	null	8643
861	22797199	null	8642
862	103564538	null	8639
863	6494003	null	8624
864	2677771	null	8614
865	78022906	null	8597
866	98243447	null	8590
867	25572450	null	8575
868	100552679	null	8561
869	91818389	null	8559
870	59993897	null	8553
871	68069681	null	8536
872	112349582	null	8530
873	34187537	null	8516
874	8856363	YABTCL.com	8489
875	41352454	null	8485
876	4100375	null	8468
877	118142319	null	8464
878	111914130	null	8453
879	14381365	null	8443
880	51415394	null	8438
881	36404024	null	8431
882	17694269	null	8409
883	8355979	null	8397
884	86967882	null	8393
885	8057637	null	8374
886	81943656	null	8365
887	115653637	BitoEX.com	8365
888	24432367	null	8288
889	65305104	null	8283
890	21987140	null	8274
891	1496997	StrongCoin.com-fee	8257
892	58249238	null	8252
893	9810240	null	8228
894	101764337	null	8223
895	56516093	null	8208
896	36228325	null	8188
897	80835213	null	8186
898	83358592	null	8173
899	8049423	null	8170
900	69282302	null	8159
901	9300664	null	8154
