rank	node_id	address	label	clustering
111	9038	16dDYQYhez5UBSjEG9TEALhGVjjNFwJtVD	null	1.000000000000000
112	9056	1LpY2WycyiTkQ97uMoVduhVUbXqvBzkgGi	null	1.000000000000000
113	9131	1ErtHshiJuSxHGrtb4CiqS2HZBSyB2PUW7	null	1.000000000000000
114	9188	1Kd6TFKfqcbG2t5LXtqfs2xj9ApHr6P8aQ	null	1.000000000000000
115	9244	1HzG7LtpDPCQSbBhvLZBAUdEahn7VHMfPx	null	1.000000000000000
116	9309	128jvVMfg8BbVEWvtXsE6jBu4wBjzckUgq	null	1.000000000000000
117	9350	15WfrzTy1iM15XGYV2ZPECb3xzLHvHWzxH	null	1.000000000000000
118	9360	12Jgq9GCqroCXTicsQtWgbRFdJ46gJLkdw	null	1.000000000000000
119	9478	1JrCDLQmnj2MCxe1XtUbQLRu6CF9u4nYny	null	1.000000000000000
120	9490	1MHCN5yp9SdTNhGg3TPfe5GfQo4K2jAXTF	null	1.000000000000000
121	9610	1Kh7GQ7HGFFQUYy24nRMvpfF75MSPiTK4P	null	1.000000000000000
122	9659	1H4CJxMHaWcx2GW5t75F12sKcP7KTaHsry	null	1.000000000000000
123	9682	1Lod45XuVBU5q1SDuS1z7yef9dhWaBPWVz	null	1.000000000000000
124	9686	1CWe6TraipHxWVApgkyteTVDm6PvtjjA1x	null	1.000000000000000
125	9711	14CwN4xYyp5pkdyQ57tRksu76Ezc4NAp7U	null	1.000000000000000
126	9733	18qv64NoxTLSAAXZqWAnADiKdTkQEETSUt	null	1.000000000000000
127	9753	1MjhunLfB9QaYV7hshFZhxYbCqQwd5774D	null	1.000000000000000
128	9762	1GxH2LewPUxsLkpf4DV5zyWiAvJ6kMbUPA	null	1.000000000000000
129	9797	1QLEz9mFhMRQCgi9fJUuDdWscnMsvepf3P	null	1.000000000000000
130	9846	1NtzZu3x9VgBbXoPYYWQHkQ12JWNsW6LZU	null	1.000000000000000
131	9859	1M7tRA7npNtBey7VHrYr6uvoa2dB9TQuBV	null	1.000000000000000
132	9892	1Mp8uGioHCeoBvRYFDvosZwNaMgC7QTqo4	null	1.000000000000000
133	9919	15gUAVqYxPJwshFoCr7RvY9wJ5DE7AEXHY	null	1.000000000000000
134	9930	15TCSe2WAJq9bDagAxMqaZM2YLzp2g37z9	null	1.000000000000000
135	9974	1JTPgNyKLmBJp3ExrSCKdncarTEqnVtVjx	null	1.000000000000000
136	10027	1DV7mYT9TNpFinubJNXu5RUgFJmA9ajcYc	null	1.000000000000000
137	10046	19zUjJjEgmqtsgC2RzHe2i9sMuVZbuXQ1h	null	1.000000000000000
138	10047	1238CYMMXYsKZBDU8su6u1qKoMACtaedQ1	null	1.000000000000000
139	10061	1JQ3qjNZrweWzHAq576RK49SUQ7uaaFqgw	null	1.000000000000000
140	10103	1APwGEFETqUjQZx7mrEQQNQiM9ZiAKatZS	null	1.000000000000000
141	10393	1AftWhNLChapLdWqTHGpHa5zB4iLMrMpKG	null	1.000000000000000
142	10462	1FKTWxpS1xzXRAD3JkqKVCfAsajXvXTSdw	null	1.000000000000000
143	10486	1Law9mpdd6kj4bxvTAmWCNXiDN4Mcb4oTU	null	1.000000000000000
144	10515	1KkiV6hco6Ce3NcHZKgZTS8ctsPegS13Er	null	1.000000000000000
145	10522	18FhcwUYmzc7ySnup5tBFNoUmg1VnU4i9j	null	1.000000000000000
146	10559	1EBhzWXd7UAZkXPVCUt79QTEeYE3EfNR4m	null	1.000000000000000
147	10613	12a6NPrMTP6B8cjX3BG9dfjTHAMhsj2VS1	null	1.000000000000000
148	10631	1No8oCW3eJTBsx5frZMa1KKFoKXw4aoBZx	null	1.000000000000000
149	10661	1LBExBeYtWydLYqXHoFQE8mczspRffmM2B	null	1.000000000000000
150	10674	1AHEqTGmgUk2kfdx9hDhjCGKJwVTZ8bqDd	null	1.000000000000000
151	10691	1Km756pftwozgKLNCxFteiMMPfAwpAfp4D	null	1.000000000000000
152	10712	18kNPJtPp35gWjrKrDHS8TRxq3nyFXH5h7	null	1.000000000000000
153	10799	115subUiHGuVo7pG7HoGEKeS9n4hfdmEsJ	null	1.000000000000000
154	10804	1Fqba8VjFMcXgvUpmukkmzGp3Cew3WSkKL	null	1.000000000000000
155	10828	1FL3kC3JrzPLFQ8UiSrdXcV133AxgLDDFc	null	1.000000000000000
156	10884	1KR5GkZrs1yjf1qTzio1Q6SCzxBugFFQGi	null	1.000000000000000
157	10912	1Gvuw5D2gi9ZznhjdTjJReCyAtP5GtMmHe	null	1.000000000000000
158	10936	12hdjXz9nE92LBR7EH1eFATcoPFjQrvQkn	null	1.000000000000000
159	10945	1B99s69TAyYwhJqeXbAoKsAADAfmxKc9oV	null	1.000000000000000
160	10949	1EmxVGHQNTJ18BFrtKqSVR7bd3aVkGcgmC	null	1.000000000000000
