rank	node_id	address	label	in_degree
168	3572642	1dice6gJgPDYz8PLQyJb8cgPBnmWqCSuF	SatoshiDice	49232
169	41789640	1FsVcdeHbpvUVT3gjeuVR2ZSDnpcsJMsLL	null	49100
170	75327337	3KAuEYkuJQw1Ad2GzWjfC7V5XoL2fCqjGN	null	49013
171	203376106	18yRgSDFV2H1LnAGTniy7btTgPdfTdfQ9Z	null	48785
172	174933835	1SURbDMJTCREQxoTbqi4i6sfnHbo6az1R	null	48679
173	70248388	38A6nGSMR59WHVnj9gaJ2Cm62y9kFE318i	null	48543
174	165941999	1HvPx4pxhtbtBnfPdG3YJbmAaAjkigdg4N	null	47805
175	96716324	1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru	null	47752
176	49485796	1KwA4fS4uVuCNjCtMivE7m5ATbv93UZg8V	null	47105
177	183145849	3G1nNTTyrpZBwyEiG6U3bJvZdu9sW3rbUz	Bitstamp.net	46650
178	101276183	1Q5etNRa1eYcvFdqTPXKvZ4fys2oaYrzwK	Poloniex.com	46460
179	234270538	1L8SHKDhwGJBsMFKmMG9ExLbEe9TEefZSe	null	46014
180	122659156	1839xGifPp2ixDfh5sHrzCPZ1at8ekCPE2	null	45155
181	155618206	1PjNgsDKCMWBMe8s9RXSTU8jKPMY7nQ3pz	null	44934
182	86361547	1HkJiE5CUdVktvzVtYdNpkZnaitDb7whM3	null	44634
183	176873154	18g7ZUaxZZKgno5Jcw1pTpWjgnpiHm5vF4	null	44110
184	14916053	19uH1vFvSoeY4MYbubj3CQqQ1AyzYGauZ5	null	43728
185	168032643	1Btc2UT6TWMnaek8Yv7NE2HEWcCPMB74hv	null	43654
186	128412465	1CGz4Fxap6mB5DoShNwhLyi8PNvBKP3ZZh	null	43345
187	205694324	12VpNLvUEBZvHL8WzjRcvoZKJ4KPdbJHko	null	43261
188	55194911	1AAq1Bf1M1S8WDwWjj3nrEGpHRwF2pxELe	BTC-e.com	43185
189	70248395	3Q9SPyCN95szQUoQYgAHKgdhC3YnRsrFrW	null	43054
190	203238702	1LMB1Jkz4nY61L1CdHPP6czZRZHJxXSFZm	null	42752
191	19500786	1LuckyY9fRzcJre7aou7ZhWVXktxjjBb9S	LuckyB.it	42252
192	83845374	1AHpSxzviDzhnq8Yqz7iYJcDJhZr3hGJvF	null	41986
193	83845376	1Q1ZpFygM1qVmmbohrmmyV5qG1ZqNK37dd	null	41986
194	83838704	19xAjg7qreTZcySBersRavbYKyrzmst7wC	AnxPro.com	41739
195	83838706	1KvagQN1tuzyDDi8AbasfL28n8GhSt6VNS	CoinTrader.net	41735
196	122658443	1CinzgDEZVPjivREAZPCQxa7B8dw6tB1Qe	null	41386
197	153355171	3Pfd4r6HipsdFxbBgvKKVTRkEzLYT2K1yQ	null	41372
198	3577280	1dice61SNWEKWdA8LN6G44ewsiQfuCvge	SatoshiDice	41002
199	191055362	1boPHSCwdZoigoCKoM21gNzyvd2b7Au1S	BTC-e.com	40894
200	114388830	1AZnsXDnF2tnZTGMXym2G9ELV9Af7zmrBm	null	40683
201	203347015	18RzCiguLWTEHkUoQqHp8cFMABiP5tgzhv	null	40366
202	25295054	1QB8Ds5KbGYBLQa5RyDQ2sVUeSKWf7qgkZ	null	40031
203	122659197	1FSWf3hyjEEZed6cNCdTLnAZx8h9hzup3T	null	39974
204	43056938	19aTR9TwHkbH5NDcdgfNb9aAG3k7EjYWuB	null	39808
205	68025416	1BvTQTP5PJVCEz7dCU2YxgMskMxxikSruM	Poloniex.com	39796
206	99810968	1F7w3bZsDeEh3X64kkWoYkhdXkJDZKKdtv	null	39734
207	217163446	37fJjdPaQmTV3KmAkVGazpGG3LC9F62MCX	null	39125
208	162133646	12f5f9Emj9LBSKjU6zet1L9CQEKbAC4uU9	null	39097
209	239779295	3868tTyX7VvrWaKw3eXex9KyM1jUhDnK2W	null	38980
210	117646369	1AavUZPq5K5vZynGPyEPwHLLbZYXdo9g8V	null	38837
211	20922273	174psvzt77NgEC373xSZWm9gYXqz4sTJjn	null	38648
212	66617824	1Lwj974KpHL9dDyXKjhm8wy9edNpPq8QdB	null	38425
213	217571684	3MKaTNDSnbzqqYPEF6ebGQ6f9PnNLMAoQQ	null	38221
214	70571177	1Lnt32vFqwz7WkqS1KXN2xwX2DZ4Nj4j1m	null	37862
215	217581609	3FVkWoWhMRyWRmdEEb84C11xcLHqvwrg5D	null	37797
216	236815080	1NMTkG6eyoLntjZBJJ6WJ3iqzni86fBnz7	null	37727
217	70248389	38mMQxz4knqfmecjLW3atdygfWxvvnJfg7	null	37705
218	50713510	1KpHz4MNoruY427gkHpsxGboFJe9KenM6x	null	37680
219	99669464	1NhRhpvXys3ot4v4m7o7LQ7e4sxwFzGa1G	null	37526
220	103916910	1L671pxzdY9dzEayZ9yEfUVWAoGsq99PoC	null	37494
221	122659157	1GU9zJxw47UDQHtwHXzJUfAvXhx2EfmfQz	null	37472
222	149917262	1PQf1CrfpxfHmchQHpiDiChV43F4Ko4DjQ	null	37399
