rank	node_id	label	out_degree
486	124256685	null	7667
487	26190327	null	7665
488	7509244	Coins-e.com	7660
489	83133549	null	7607
490	63583544	null	7584
491	630007	null	7547
492	67338862	null	7533
493	628618	null	7527
494	21176187	Betcoin.ag	7522
495	65039981	null	7504
496	3302627	null	7425
497	41968685	null	7369
498	3722412	null	7331
499	118740892	null	7330
500	67338864	null	7298
501	7714550	null	7290
502	93781734	null	7251
503	66962294	null	7247
504	8046953	null	7237
505	54514296	null	7236
506	12541796	null	7232
507	73764602	null	7225
508	88238459	null	7194
509	128642070	null	7184
510	117763935	null	7169
511	6066040	null	7131
512	29606350	null	7111
513	75610533	null	7099
514	107682613	null	7062
515	29086942	null	7050
516	14182946	null	7043
517	101035348	null	7027
518	32554358	null	7025
519	26176602	null	7003
520	100928775	null	6997
521	37823245	null	6955
522	3982564	null	6933
523	42902103	null	6926
524	12393865	null	6902
525	98752858	null	6888
526	28175658	null	6876
527	28215937	null	6866
528	5761008	null	6861
529	33065511	null	6840
530	22174187	null	6829
531	60172783	null	6802
532	52042231	null	6791
533	49565974	null	6785
534	17596459	null	6752
535	66566590	null	6746
536	82828827	null	6743
537	53464053	null	6732
538	7533958	null	6692
539	65348261	null	6692
540	34352803	null	6678
541	46854840	null	6651
542	1703726	null	6648
543	17495950	null	6628
544	123532098	null	6609
545	18714457	null	6604
546	23324727	null	6603
547	50391962	null	6602
548	104875486	null	6599
549	23336923	null	6597
550	5759103	null	6576
551	60795512	null	6574
552	78718021	null	6572
553	39935616	null	6553
554	50282493	null	6541
555	4368102	null	6530
556	4105036	null	6524
557	9200843	null	6504
558	27316576	null	6495
559	78728051	null	6454
560	75020464	null	6452
561	17478566	null	6421
562	12337780	LiteBit.eu	6372
563	12618637	null	6369
564	48747054	null	6349
565	35397510	null	6341
566	598316	null	6340
567	20437514	null	6340
568	18694575	Crypto-Games.net	6338
569	58482126	null	6317
570	6484484	null	6292
571	17151572	null	6284
572	69933269	null	6271
573	46362418	null	6268
574	36074705	null	6264
575	75376893	null	6248
576	101386951	null	6229
577	5976061	null	6212
578	39454556	null	6181
579	8723130	BtcMarkets.net	6179
580	77180793	null	6174
581	800262	null	6173
582	40745798	null	6151
583	67527600	null	6141
584	102269576	null	6141
585	24653021	null	6137
586	65258252	null	6136
587	86504100	null	6126
588	17468935	null	6121
589	119559242	null	6095
590	24492471	null	6077
591	66799789	null	6077
592	28810161	null	6056
593	15219091	CoinCafe.com	6048
594	7983034	BetcoinDice.tm	6039
595	82701044	null	6034
596	13588242	null	6031
597	29470712	null	6024
598	6500145	null	6009
599	11629454	Igot.com	5982
600	125321949	null	5969
601	38698901	null	5966
602	19785773	null	5959
603	12030062	null	5944
604	79146923	null	5938
605	6159731	null	5935
606	10926784	null	5924
607	23842105	null	5922
608	60366770	null	5906
609	1953464	null	5850
610	26212250	BitAces.me	5843
611	81778195	null	5840
612	47530994	null	5838
613	118819521	null	5835
614	123651870	null	5833
615	2491751	null	5830
616	19590440	null	5804
617	28225789	null	5799
618	83818986	null	5795
619	39692838	null	5783
620	57899668	null	5781
621	105018798	null	5765
622	132787828	null	5753
623	80931895	null	5736
624	124495457	null	5730
625	49944768	null	5716
626	27610528	null	5715
627	28997021	null	5691
628	20010945	null	5677
629	37671630	null	5662
630	73139092	null	5651
631	20287927	null	5644
